goos: darwin
goarch: arm64
pkg: go-microbenchmarks-benchstat/across_cases
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2  	   15530	    375822 ns/op	     61257 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2  	   15211	    381628 ns/op	     61354 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2  	   16225	    373790 ns/op	     61309 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=protobuf-2             	    2244	   2796016 ns/op	     47062 bytes/message	 1816600 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=protobuf-2             	    2013	   2674213 ns/op	     47021 bytes/message	 1842968 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=protobuf-2             	    2088	   2608889 ns/op	     47031 bytes/message	 1842968 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=protobuf-2             	    2224	   2668685 ns/op	     46980 bytes/message	 1845784 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=protobuf-2             	    2251	   2676894 ns/op	     46912 bytes/message	 1842968 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=protobuf-2             	    2252	   2640092 ns/op	     46945 bytes/message	 1842968 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=vtprotobuf-2           	    2962	   1982408 ns/op	     47048 bytes/message	 1842968 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=vtprotobuf-2           	    3271	   1876954 ns/op	     47215 bytes/message	 1845784 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=vtprotobuf-2           	    2906	   1857503 ns/op	     46838 bytes/message	 1845784 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=vtprotobuf-2           	    3067	   1985505 ns/op	     46847 bytes/message	 1842968 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=vtprotobuf-2           	    3025	   2087460 ns/op	     47051 bytes/message	 1845784 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=prometheus.WriteRequest/encoder=vtprotobuf-2           	    2982	   2012715 ns/op	     47048 bytes/message	 1842968 B/op	      10 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=protobuf-2      	    6720	    909716 ns/op	     34262 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=protobuf-2      	    6364	    861513 ns/op	     34293 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=protobuf-2      	    7006	    872632 ns/op	     34286 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=protobuf-2      	    6840	    882132 ns/op	     34295 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=protobuf-2      	    6205	    869040 ns/op	     34352 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=protobuf-2      	    6672	    902246 ns/op	     34409 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2    	    7626	    796955 ns/op	     34182 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2    	    7311	    797224 ns/op	     34316 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2    	    7814	    786434 ns/op	     34235 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2    	    7938	    771708 ns/op	     34398 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2    	    8161	    766823 ns/op	     34311 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=zstd/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2    	    7558	    782235 ns/op	     34225 bytes/message	  376832 B/op	       2 allocs/op
BenchmarkEncode/sample=10000/compression=/proto=prometheus.WriteRequest/encoder=protobuf-2                	    1004	   6133498 ns/op	   8295438 bytes/message	 8298496 B/op	       1 allocs/op
BenchmarkEncode/sample=10000/compression=/proto=prometheus.WriteRequest/encoder=protobuf-2                	     954	   6077833 ns/op	   8295438 bytes/message	 8298496 B/op	       1 allocs/op
BenchmarkEncode/sample=10000/compression=/proto=prometheus.WriteRequest/encoder=protobuf-2                	     974	   5886006 ns/op	   8295438 bytes/message	 8298496 B/op	       1 allocs/op
BenchmarkEncode/sample=10000/compression=/proto=prometheus.WriteRequest/encoder=protobuf-2                	    1020	   6117714 ns/op	   8295438 bytes/message	 8298496 B/op	       1 allocs/op
BenchmarkEncode/sample=10000/compression=/proto=prometheus.WriteRequest/encoder=protobuf-2                	     957	   6050822 ns/op	   8295438 bytes/message	 8298496 B/op	       1 allocs/op
